Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HN-score(HN5)	organism	start2 (bp)	end2 (bp)	GOSlim GOA Accession(s)	GOSlim GOA Description
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0005634	nucleus
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0016071	mRNA metabolic process
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0016787	hydrolase activity
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0140098	catalytic activity, acting on RNA
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0003723	RNA binding
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0005654	nucleoplasm
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0048856	anatomical structure development
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0003824	catalytic activity
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0140657	ATP-dependent activity
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0043226	organelle
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0005634	nucleus
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0016071	mRNA metabolic process
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0016787	hydrolase activity
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0140098	catalytic activity, acting on RNA
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0003723	RNA binding
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0005654	nucleoplasm
ENSG00000132825	H_20	59936663	59940305	-16	human	59936663	59940305	GO:0005975	carbohydrate metabolic process
ENSG00000132825	H_20	59936663	59940305	-16	human	59936663	59940305	GO:0006091	generation of precursor metabolites and energy
ENSG00000132825	H_20	59936663	59940305	-16	human	59936663	59940305	GO:0003824	catalytic activity
ENSG00000132825	H_20	59936663	59940305	-16	human	59936663	59940305	GO:0016787	hydrolase activity
ENSG00000132825	H_20	59936663	59940305	-16	human	59936663	59940305	GO:0140096	catalytic activity, acting on a protein
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0005576	extracellular region
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0098772	molecular function regulator activity
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0048018	receptor ligand activity
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0002376	immune system process
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0005615	extracellular space
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0005829	cytosol
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0023052	signaling
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0006351	DNA-templated transcription
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0006355	regulation of DNA-templated transcription
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0036211	protein modification process
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0030154	cell differentiation
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0048856	anatomical structure development
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0022414	reproductive process
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0007155	cell adhesion
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0140013	meiotic nuclear division
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0005576	extracellular region
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0005615	extracellular space
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0005829	cytosol
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0002376	immune system process
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0098772	molecular function regulator activity
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0048018	receptor ligand activity
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0023052	signaling
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0006351	DNA-templated transcription
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0006355	regulation of DNA-templated transcription
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0036211	protein modification process
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0030154	cell differentiation
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0048856	anatomical structure development
ENSG00000128342	H_22	30240453	30246759	-24	human	30240453	30246759	GO:0007155	cell adhesion
ENSG00000169508	H_13	99294539	99307399	-14	human	99294539	99307399	GO:0023052	signaling
ENSG00000169508	H_13	99294539	99307399	-14	human	99294539	99307399	GO:0060089	molecular transducer activity
ENSG00000169508	H_13	99294539	99307399	-14	human	99294539	99307399	GO:0008289	lipid binding
ENSG00000169508	H_13	99294539	99307399	-14	human	99294539	99307399	GO:0005886	plasma membrane
ENSG00000169508	H_13	99294539	99307399	-14	human	99294539	99307399	GO:0002376	immune system process
ENSG00000169508	H_13	99294539	99307399	-14	human	99294539	99307399	GO:0048856	anatomical structure development
ENSG00000169508	H_13	99294539	99307399	-14	human	99294539	99307399	GO:0030154	cell differentiation
ENSG00000169508	H_13	99294539	99307399	-14	human	99294539	99307399	GO:0048870	cell motility
ENSG00000179008	H_14	60396469	60515543	-19	human	60396469	60515543	GO:0043226	organelle
ENSG00000179008	H_14	60396469	60515543	-19	human	60396469	60515543	GO:0005694	chromosome
ENSG00000179008	H_14	60396469	60515543	-19	human	60396469	60515543	GO:0030154	cell differentiation
ENSG00000179008	H_14	60396469	60515543	-19	human	60396469	60515543	GO:0006310	DNA recombination
ENSG00000179008	H_14	60396469	60515543	-19	human	60396469	60515543	GO:0022414	reproductive process
ENSG00000179008	H_14	60396469	60515543	-19	human	60396469	60515543	GO:0005634	nucleus
ENSG00000179008	H_14	60396469	60515543	-19	human	60396469	60515543	GO:0000228	nuclear chromosome
ENSG00000179008	H_14	60396469	60515543	-19	human	60396469	60515543	GO:0048856	anatomical structure development
ENSG00000179008	H_14	60396469	60515543	-19	human	60396469	60515543	GO:0140013	meiotic nuclear division
ENSG00000179008	H_14	60396469	60515543	-19	human	60396469	60515543	GO:0007059	chromosome segregation
ENSG00000179008	H_14	60396469	60515543	-19	human	60396469	60515543	GO:0006351	DNA-templated transcription
ENSG00000179008	H_14	60396469	60515543	-19	human	60396469	60515543	GO:0006355	regulation of DNA-templated transcription
ENSG00000179008	H_14	60396469	60515543	-19	human	60396469	60515543	GO:0006281	DNA repair
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0006351	DNA-templated transcription
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0006355	regulation of DNA-templated transcription
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0043226	organelle
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0005634	nucleus
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0005654	nucleoplasm
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0003677	DNA binding
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0022414	reproductive process
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0048856	anatomical structure development
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0048870	cell motility
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0002376	immune system process
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0030154	cell differentiation
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0006351	DNA-templated transcription
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0006355	regulation of DNA-templated transcription
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0043226	organelle
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0005634	nucleus
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0005654	nucleoplasm
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0003677	DNA binding
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0002376	immune system process
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0006351	DNA-templated transcription
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0006355	regulation of DNA-templated transcription
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0043226	organelle
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0005634	nucleus
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0005654	nucleoplasm
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0003677	DNA binding
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0002376	immune system process
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0006351	DNA-templated transcription
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0006355	regulation of DNA-templated transcription
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0043226	organelle
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0005634	nucleus
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0005654	nucleoplasm
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0003677	DNA binding
ENSG00000100105	H_22	31325804	31346346	-14	human	31325804	31346346	GO:0002376	immune system process
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0003824	catalytic activity
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0016829	lyase activity
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0005829	cytosol
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0043226	organelle
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0005576	extracellular region
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0005615	extracellular space
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0006575	cellular modified amino acid metabolic process
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0003824	catalytic activity
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0016829	lyase activity
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0005829	cytosol
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0043226	organelle
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0005576	extracellular region
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0005615	extracellular space
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0006575	cellular modified amino acid metabolic process
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0003824	catalytic activity
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0016829	lyase activity
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0005829	cytosol
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0043226	organelle
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0005576	extracellular region
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0005615	extracellular space
ENSG00000134864	H_13	100530164	100589528	-19	human	100530164	100589528	GO:0006575	cellular modified amino acid metabolic process
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0012501	programmed cell death
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0043226	organelle
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005856	cytoskeleton
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005886	plasma membrane
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005829	cytosol
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0006914	autophagy
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0065003	protein-containing complex assembly
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0023052	signaling
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0007005	mitochondrion organization
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005739	mitochondrion
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0012501	programmed cell death
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0043226	organelle
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005856	cytoskeleton
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005886	plasma membrane
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005829	cytosol
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0006914	autophagy
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0065003	protein-containing complex assembly
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0023052	signaling
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0007005	mitochondrion organization
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005739	mitochondrion
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0012501	programmed cell death
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0043226	organelle
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005856	cytoskeleton
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005886	plasma membrane
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005829	cytosol
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0006914	autophagy
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0065003	protein-containing complex assembly
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0023052	signaling
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0007005	mitochondrion organization
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005739	mitochondrion
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0012501	programmed cell death
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0043226	organelle
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005856	cytoskeleton
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005886	plasma membrane
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005829	cytosol
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0006914	autophagy
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0065003	protein-containing complex assembly
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0023052	signaling
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0007005	mitochondrion organization
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005739	mitochondrion
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0012501	programmed cell death
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0043226	organelle
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005856	cytoskeleton
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005886	plasma membrane
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005829	cytosol
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0006914	autophagy
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0065003	protein-containing complex assembly
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0023052	signaling
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0007005	mitochondrion organization
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005739	mitochondrion
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0012501	programmed cell death
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0043226	organelle
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005856	cytoskeleton
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005886	plasma membrane
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005829	cytosol
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0006914	autophagy
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0065003	protein-containing complex assembly
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0023052	signaling
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0007005	mitochondrion organization
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005739	mitochondrion
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0012501	programmed cell death
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0043226	organelle
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005856	cytoskeleton
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005886	plasma membrane
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005829	cytosol
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0006914	autophagy
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0065003	protein-containing complex assembly
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0023052	signaling
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0007005	mitochondrion organization
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0005739	mitochondrion
ENSG00000104081	H_15	40087890	40108892	-15	human	40087890	40108892	GO:0012501	programmed cell death
ENSG00000232838	H_20	18137863	18143169	-15	human	18137863	18143169	GO:0043226	organelle
ENSG00000232838	H_20	18137863	18143169	-15	human	18137863	18143169	GO:0005739	mitochondrion
ENSG00000232838	H_20	18137863	18143169	-15	human	18137863	18143169	GO:0065003	protein-containing complex assembly
ENSG00000232838	H_20	18137863	18143169	-15	human	18137863	18143169	GO:0007005	mitochondrion organization
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0036211	protein modification process
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0003824	catalytic activity
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0016787	hydrolase activity
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0140096	catalytic activity, acting on a protein
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0043226	organelle
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0005634	nucleus
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0005654	nucleoplasm
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0016740	transferase activity
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0005829	cytosol
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0031410	cytoplasmic vesicle
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0005768	endosome
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0098772	molecular function regulator activity
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0048856	anatomical structure development
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0023052	signaling
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0036211	protein modification process
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0003824	catalytic activity
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0016787	hydrolase activity
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0140096	catalytic activity, acting on a protein
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0043226	organelle
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0005634	nucleus
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0005654	nucleoplasm
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0005829	cytosol
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0031410	cytoplasmic vesicle
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0005768	endosome
ENSG00000100324	H_22	39399778	39437060	-16	human	39399778	39437060	GO:0098772	molecular function regulator activity
ENSG00000170779	H_14	105009573	105021083	-19	human	105009573	105021083	GO:0043226	organelle
ENSG00000170779	H_14	105009573	105021083	-19	human	105009573	105021083	GO:0005634	nucleus
ENSG00000170779	H_14	105009573	105021083	-19	human	105009573	105021083	GO:0005654	nucleoplasm
ENSG00000170779	H_14	105009573	105021083	-19	human	105009573	105021083	GO:0005829	cytosol
ENSG00000170779	H_14	105009573	105021083	-19	human	105009573	105021083	GO:0005886	plasma membrane
ENSG00000170779	H_14	105009573	105021083	-19	human	105009573	105021083	GO:0043226	organelle
ENSG00000170779	H_14	105009573	105021083	-19	human	105009573	105021083	GO:0005634	nucleus
ENSG00000170779	H_14	105009573	105021083	-19	human	105009573	105021083	GO:0005654	nucleoplasm
ENSG00000170779	H_14	105009573	105021083	-19	human	105009573	105021083	GO:0005829	cytosol
ENSG00000170779	H_14	105009573	105021083	-19	human	105009573	105021083	GO:0005886	plasma membrane
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0023052	signaling
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0060089	molecular transducer activity
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0005886	plasma membrane
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0006954	inflammatory response
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0023052	signaling
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0060089	molecular transducer activity
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0023052	signaling
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0060089	molecular transducer activity
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0005886	plasma membrane
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0006954	inflammatory response
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0002376	immune system process
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0048856	anatomical structure development
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0030154	cell differentiation
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0023052	signaling
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0060089	molecular transducer activity
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0005886	plasma membrane
ENSG00000119714	H_14	91232532	91253925	-18	human	91232532	91253925	GO:0006954	inflammatory response
ENSG00000127084	H_9	92947523	93036236	-15	human	92947523	93036236	GO:0098772	molecular function regulator activity
ENSG00000127084	H_9	92947523	93036236	-15	human	92947523	93036236	GO:0043226	organelle
ENSG00000127084	H_9	92947523	93036236	-15	human	92947523	93036236	GO:0005794	Golgi apparatus
ENSG00000127084	H_9	92947523	93036236	-15	human	92947523	93036236	GO:0007010	cytoskeleton organization
ENSG00000127084	H_9	92947523	93036236	-15	human	92947523	93036236	GO:0005856	cytoskeleton
ENSG00000127084	H_9	92947523	93036236	-15	human	92947523	93036236	GO:0005829	cytosol
ENSG00000127084	H_9	92947523	93036236	-15	human	92947523	93036236	GO:0023052	signaling
ENSG00000127084	H_9	92947523	93036236	-15	human	92947523	93036236	GO:0048856	anatomical structure development
