Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	HN-score(HN5)	name
ENSG00000087074	19	48872212	48876059	1	57	PPP1R15A
ENSG00000136535	2	161416297	161425870	1	57	TBR1
ENSG00000196993	16	28751787	28772864	1	57	NPIPB9
ENSG00000178404	17	78890579	78903217	-1	57	CEP295NL
ENSG00000118514	6	134917393	134950115	-1	57	ALDH8A1
ENSG00000009790	1	209756032	209782320	1	57	TRAF3IP3
ENSG00000117598	1	98890245	99227929	-1	57	PLPPR5
ENSG00000124103	20	56517187	56526152	1	56	FAM209A
ENSG00000167525	17	28703197	28711888	-1	56	PROCA1
ENSG00000101888	X	109535781	109544698	1	56	NXT2
ENSG00000146233	6	46549580	46652830	-1	56	CYP39A1
ENSG00000273514	9	41126435	41128681	-1	56	FOXD4L6
ENSG00000215644	17	81804132	81814008	1	56	GCGR
ENSG00000028277	19	42086110	42196585	-1	56	POU2F2
ENSG00000139908	14	24205696	24208362	1	55	TSSK4
ENSG00000151364	11	78015715	78046191	-1	55	KCTD14
ENSG00000144381	2	197486584	197516737	-1	55	HSPD1
ENSG00000173261	5	146084313	146105577	-1	55	PLAC8L1
ENSG00000170315	17	16380798	16382745	1	55	UBB
ENSG00000255150	12	104303739	104305205	1	54	EID3
ENSG00000160325	9	133459965	133470848	1	54	CACFD1
ENSG00000215274	X	49303646	49319841	1	54	GAGE10
ENSG00000105668	19	35666517	35678481	1	54	UPK1A
ENSG00000184502	17	41712331	41715969	1	53	GAST
ENSG00000119938	10	91628442	91633071	-1	53	PPP1R3C
ENSG00000110876	12	108621895	108633894	-1	53	SELPLG
ENSG00000184647	8	10525532	10554166	1	53	PRSS55
ENSG00000149781	11	64205926	64223896	1	53	FERMT3
ENSG00000283361	13	114154691	114223085	1	53	CFAP97D2
ENSG00000116161	1	174999163	175012027	1	52	CACYBP
ENSG00000188959	9	110190048	110208159	-1	52	C9orf152
ENSG00000167608	19	54160108	54173250	-1	52	TMC4
ENSG00000015520	7	44512535	44541330	-1	52	NPC1L1
ENSG00000177459	8	98064522	98093610	1	52	ERICH5
ENSG00000189001	19	35523367	35528351	-1	51	SBSN
ENSG00000182013	19	46466491	46471563	-1	51	PNMA8A
ENSG00000174226	8	100572889	100663415	-1	51	SNX31
ENSG00000184205	X	53082367	53088540	1	51	TSPYL2
ENSG00000164683	8	79762371	79767857	-1	51	HEY1
ENSG00000187049	11	61392393	61398866	1	51	TMEM216
ENSG00000176381	6	166305300	166308448	-1	51	PRR18
ENSG00000171931	17	18744026	18779349	1	51	FBXW10
ENSG00000125998	20	35285731	35292425	-1	51	FAM83C
ENSG00000107742	10	72059034	72089032	-1	51	SPOCK2
