Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	HN-score(HN5)	name
ENSG00000174015	13	45702320	45714559	1	-16	CBY2
ENSG00000204444	6	31652416	31658210	1	-16	APOM
ENSG00000132825	20	59936663	59940305	-1	-16	PPP1R3D
ENSG00000148840	10	102132994	102150333	1	-16	PPRC1
ENSG00000155846	5	149730298	149855022	1	-16	PPARGC1B
ENSG00000187808	X	119758588	119760202	1	-16	SOWAHD
ENSG00000275714	6	26020451	26020958	1	-16	H3C1
ENSG00000205923	16	2530035	2531417	-1	-16	CEMP1
ENSG00000173227	11	67006778	67050863	1	-16	SYT12
ENSG00000100324	22	39399778	39437060	1	-16	TAB1
ENSG00000286219	1	149390621	149471833	1	-17	NOTCH2NLC
ENSG00000142731	4	127880893	127899224	1	-17	PLK4
ENSG00000183396	3	48620759	48621769	-1	-17	TMEM89
ENSG00000249709	19	12525373	12551542	-1	-17	ZNF564
ENSG00000167653	8	142670308	142682725	1	-17	PSCA
ENSG00000167183	17	47951967	47957883	-1	-17	PRR15L
ENSG00000168806	15	43323649	43330582	-1	-17	LCMT2
ENSG00000175449	5	95646777	95684773	1	-17	RFESD
ENSG00000162063	16	2429394	2458854	1	-17	CCNF
ENSG00000175283	9	128945530	128947603	-1	-17	DOLK
ENSG00000169174	1	55039447	55064852	1	-17	PCSK9
ENSG00000204767	5	169861303	169980495	-1	-17	INSYN2B
ENSG00000111186	12	1529891	1647212	1	-17	WNT5B
ENSG00000131746	17	40475828	40501623	-1	-18	TNS4
ENSG00000123485	2	233833416	233854566	-1	-18	HJURP
ENSG00000218891	19	55576774	55580848	-1	-18	ZNF579
ENSG00000152778	10	89414568	89421605	1	-18	IFIT5
ENSG00000119714	14	91232532	91253925	-1	-18	GPR68
ENSG00000177971	15	75639085	75648706	-1	-18	IMP3
ENSG00000137124	9	38392702	38398661	1	-18	ALDH1B1
ENSG00000106351	7	100539203	100568220	1	-18	AGFG2
ENSG00000196372	10	5638867	5666595	-1	-18	ASB13
ENSG00000151702	11	128686535	128813267	1	-18	FLI1
ENSG00000156006	8	18391282	18401218	1	-18	NAT2
ENSG00000179023	1	18480930	18485974	1	-18	KLHDC7A
ENSG00000205808	9	4662294	4665258	1	-18	PLPP6
ENSG00000123096	12	26121991	26299290	1	-18	SSPN
ENSG00000134864	13	100530164	100589528	-1	-19	GGACT
ENSG00000166507	10	73801911	73811798	-1	-19	NDST2
ENSG00000179008	14	60396469	60515543	-1	-19	C14orf39
ENSG00000179715	12	47079603	47236662	1	-19	PCED1B
ENSG00000179476	14	44897275	44907257	1	-19	C14orf28
ENSG00000170779	14	105009573	105021083	-1	-19	CDCA4
ENSG00000110455	11	44065925	44084237	1	-19	ACCS
ENSG00000158792	16	89696357	89701705	-1	-19	SPATA2L
ENSG00000213402	11	67435510	67437682	-1	-19	PTPRCAP
ENSG00000170191	20	25612935	25624014	-1	-19	NANP
ENSG00000211798	14	22003106	22003673	1	-19	TRAV18
ENSG00000134690	1	37692481	37709719	1	-19	CDCA8
ENSG00000117152	1	163068775	163076802	1	-19	RGS4
ENSG00000124208	20	50081124	50153637	-1	-20	PEDS1-UBE2V1
ENSG00000167799	11	67627938	67629937	-1	-20	NUDT8
ENSG00000198917	9	128819651	128829794	-1	-20	SPOUT1
ENSG00000118246	2	206765357	206796189	1	-20	FASTKD2
ENSG00000116863	1	36088892	36093932	1	-20	ADPRS
ENSG00000184270	1	149887469	149887965	-1	-20	H2AC21
ENSG00000184056	15	90998673	91022603	-1	-20	VPS33B
ENSG00000137331	6	30743199	30744548	-1	-20	IER3
ENSG00000198890	1	107056674	107067636	1	-20	PRMT6
ENSG00000243364	1	155063737	155069553	1	-20	EFNA4
ENSG00000168398	14	96204679	96244166	1	-20	BDKRB2
ENSG00000212916	1	232805416	232809929	1	-20	MAP10
ENSG00000144120	2	119679167	119686507	1	-21	TMEM177
ENSG00000272573	3	52833114	52835019	-1	-21	MUSTN1
ENSG00000062282	11	75759512	75801535	1	-21	DGAT2
ENSG00000121671	11	45847118	45883248	1	-21	CRY2
ENSG00000181773	1	27392622	27395814	1	-21	GPR3
ENSG00000130147	2	234952017	235055714	1	-21	SH3BP4
ENSG00000101452	20	38962299	39039723	1	-21	DHX35
ENSG00000152382	1	166856510	166876264	-1	-21	TADA1
ENSG00000180902	2	241734602	241768816	1	-21	D2HGDH
ENSG00000197566	17	16620734	16653856	-1	-22	ZNF624
ENSG00000135245	7	128455849	128458418	1	-22	HILPDA
ENSG00000168298	6	26156329	26157115	1	-22	H1-4
ENSG00000068001	3	50317790	50322782	-1	-22	HYAL2
ENSG00000214967	16	16379140	16393972	1	-22	NPIPA7
ENSG00000124143	20	38601809	38651035	1	-22	ARHGAP40
ENSG00000176125	7	100888721	100889715	-1	-22	UFSP1
ENSG00000128805	10	48446036	48656265	-1	-22	ARHGAP22
ENSG00000275183	19	54461732	54463778	-1	-22	LENG9
ENSG00000134259	1	115285904	115338770	-1	-22	NGF
ENSG00000198331	11	125883614	125900646	1	-22	HYLS1
ENSG00000185760	6	72621792	73198853	1	-23	KCNQ5
ENSG00000121797	3	46407166	46412997	1	-23	CCRL2
ENSG00000074047	2	120735623	120992653	1	-23	GLI2
ENSG00000066629	14	99737693	99942060	1	-23	EML1
ENSG00000037897	12	57768471	57772119	-1	-23	METTL1
ENSG00000185614	3	49803261	49805030	1	-23	INKA1
ENSG00000122861	10	73909177	73917496	1	-23	PLAU
ENSG00000179431	11	35618460	35620865	1	-23	FJX1
ENSG00000178764	8	122781655	122974510	1	-23	ZHX2
ENSG00000170961	8	121612116	121641440	-1	-24	HAS2
ENSG00000128342	22	30240453	30246759	-1	-24	LIF
ENSG00000236287	11	10812074	10858796	-1	-24	ZBED5
ENSG00000004660	17	3860315	3894891	-1	-24	CAMKK1
ENSG00000275835	15	22983192	23039572	-1	-24	TUBGCP5
ENSG00000106003	7	2512529	2529177	1	-25	LFNG
ENSG00000212724	17	41059240	41060114	-1	-25	KRTAP2-3
ENSG00000182810	16	68020916	68023232	-1	-25	DDX28
ENSG00000254598	11	11351942	11353250	-1	-26	CSNK2A3
ENSG00000196659	2	177548998	177552796	-1	-26	TTC30B
ENSG00000128284	22	36140329	36166177	-1	-26	APOL3
ENSG00000106560	7	150685697	150693641	1	-26	GIMAP2
ENSG00000241945	21	44107373	44131181	1	-26	PWP2
ENSG00000179862	1	40861054	40862363	-1	-26	CITED4
ENSG00000183479	X	153444473	153470587	-1	-26	TREX2
ENSG00000140451	15	64815632	64825668	-1	-26	PIF1
ENSG00000215695	1	15659713	15662033	1	-26	RSC1A1
ENSG00000180739	19	10512742	10517931	-1	-27	S1PR5
ENSG00000180884	19	34956354	34964229	-1	-27	ZNF792
ENSG00000125538	2	112829751	112836816	-1	-28	IL1B
ENSG00000213689	3	48465811	48467645	1	-28	TREX1
ENSG00000172789	12	54033050	54035361	1	-29	HOXC5
ENSG00000175536	11	74490519	74493724	-1	-29	LIPT2
ENSG00000177427	17	18260597	18266552	1	-30	MIEF2
ENSG00000119917	10	89327307	89377473	1	-31	IFIT3
ENSG00000177352	3	49162535	49166331	-1	-31	CCDC71
ENSG00000187837	6	26055740	26056470	-1	-31	H1-2
ENSG00000228727	6	31762656	31764850	1	-32	SAPCD1
ENSG00000160318	19	51367098	51369003	-1	-32	CLDND2
ENSG00000174448	18	54324358	54357964	-1	-33	STARD6
ENSG00000166189	10	102065349	102068036	1	-36	HPS6
ENSG00000102921	16	48538726	48620148	-1	-41	N4BP1
ENSG00000179922	19	55620741	55624566	-1	-42	ZNF784
ENSG00000162526	1	32351521	32364312	1	-43	TSSK3
ENSG00000196196	9	35906202	35907136	1	-52	HRCT1
ENSG00000124575	6	26234212	26234987	-1	-71	H1-3
