Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	HN-score(HN5)
Os12g0101901	12	81517	81926	-1	-53
Os02g0570700	2	21810375	21813457	-1	-53
Os02g0780000	2	33034282	33034608	1	-53
Os07g0624600	7	25867212	25871232	1	-53
Os04g0644433	4	32793300	32793575	1	-53
Os02g0571100	2	21841092	21847545	1	-53
Os01g0550800	1	20640981	20643879	1	-53
Os05g0106200	5	338917	340779	1	-53
Os08g0346900	8	15736243	15738803	-1	-53
Os10g0148100	10	2897688	2899059	-1	-54
Os05g0360400	5	17175702	17176974	1	-54
Os06g0473000	6	15781397	15782702	-1	-54
Os12g0571400	12	23524209	23524834	1	-54
Os11g0641500	11	25423701	25426045	1	-54
Os03g0418000	3	17390820	17391862	1	-55
Os10g0527601	10	20493427	20494200	1	-55
Os01g0796000	1	33713552	33714121	1	-55
Os02g0718950	2	29824200	29824438	-1	-55
Os10g0570200	10	22607642	22608671	1	-55
Os08g0101100	8	71348	72715	-1	-55
Os08g0111200	8	580320	586456	-1	-55
Os07g0693800	7	29531284	29534119	1	-55
Os04g0121100	4	1248450	1260282	1	-55
Os09g0249750	9	3793011	3796214	-1	-55
Os12g0555300	12	22595531	22596804	1	-56
Os11g0649500	11	25890574	25891134	-1	-56
Os03g0400200	3	16227657	16228193	-1	-56
Os04g0666800	4	34038375	34039430	-1	-56
Os12g0555000	12	22580880	22581936	1	-56
Os06g0549300	6	20784441	20786120	-1	-57
Os01g0329000	1	12677044	12683455	-1	-57
Os02g0308400	2	12113907	12114966	-1	-57
Os11g0592200	11	22511506	22512374	1	-57
Os02g0779400	2	32993460	32993782	1	-57
Os06g0560000	6	21397006	21399317	1	-57
Os09g0325000	9	9514333	9515776	-1	-58
Os05g0153500	5	3094201	3095030	1	-58
Os02g0121700	2	1145837	1151052	1	-59
Os09g0424401	9	15385753	15387645	1	-60
Os10g0456100	10	16663932	16664717	1	-60
Os01g0105300	1	284762	291892	-1	-60
Os02g0240300	2	7948543	7949997	1	-60
Os01g0591300	1	23113647	23120516	1	-60
Os10g0150700	10	3020705	3022087	1	-60
Os04g0493400	4	24687753	24689297	-1	-61
Os02g0563000	2	21365479	21366789	1	-61
Os07g0142300	7	2179636	2180493	1	-61
Os12g0630200	12	26960487	26961383	1	-61
Os03g0439800	3	18579735	18598590	1	-62
Os03g0237100	3	7229093	7231670	1	-62
Os09g0130300	9	2320603	2322832	1	-62
Os01g0248300	1	8159901	8161287	1	-62
Os04g0307500	4	13863222	13868260	1	-62
Os02g0616100	2	24372806	24374439	1	-63
Os05g0113900	5	738208	739079	1	-63
Os10g0552800	10	21697077	21697778	-1	-64
Os09g0472700	9	18058240	18058985	1	-64
Os05g0128900	5	1695247	1696084	-1	-64
Os04g0494100	4	24708801	24709910	-1	-64
Os09g0451400	9	16925457	16927046	1	-64
Os04g0587500	4	29669835	29672579	1	-64
Os07g0524200	7	20348669	20349531	1	-65
Os02g0226200	2	7078703	7079848	1	-65
Os01g0179600	1	4153077	4154674	-1	-65
Os03g0371000	3	14559322	14561845	1	-66
Os09g0275400	9	5643489	5645523	-1	-66
Os12g0191601	12	4656746	4656982	-1	-67
Os07g0190000	7	4821207	4824665	1	-67
Os03g0751200	3	30960026	30963595	1	-67
Os09g0129500	9	2293435	2294644	1	-68
Os03g0651800	3	25315697	25317065	1	-68
Os01g0887550	1	38563355	38563756	-1	-68
Os06g0518100	6	18978792	18982027	1	-68
Os08g0347000	8	15743541	15745120	-1	-69
Os01g0216000	1	6340836	6344286	1	-70
Os12g0555500	12	22600049	22601182	1	-70
Os03g0180800	3	4232004	4233038	-1	-70
Os10g0165300	10	4497746	4503667	1	-70
Os08g0167800	8	3961276	3965426	1	-71
Os01g0382400	1	15958748	15959497	-1	-71
Os12g0555200	12	22591681	22593505	1	-71
Os07g0179300	7	4182044	4184048	-1	-72
Os10g0475000	10	17684668	17688595	-1	-73
Os09g0246300	9	3480171	3496480	-1	-74
Os06g0129900	6	1581991	1585738	-1	-75
Os03g0341000	3	12713329	12714583	1	-75
Os01g0613500	1	24343518	24345172	-1	-75
Os03g0117050	3	957845	958110	1	-76
Os03g0667300	3	26276422	26277614	-1	-76
Os01g0318400	1	12092783	12093601	1	-76
Os07g0664000	7	28020795	28021694	1	-76
Os06g0721800	6	30658369	30659202	-1	-77
Os12g0601800	12	25332774	25336537	1	-77
Os06g0688200	6	28707334	28708349	-1	-77
Os04g0231200	4	8764872	8767208	1	-79
Os01g0689451	1	28447888	28458988	-1	-80
Os03g0439700	3	18575450	18577554	-1	-80
Os12g0598000	12	25098261	25098839	-1	-80
Os04g0641101	4	32619579	32619813	-1	-80
Os12g0236100	12	7441389	7446142	-1	-81
Os04g0119000	4	1125771	1126711	1	-82
Os03g0404800	3	16551354	16561430	1	-82
Os07g0429700	7	14118026	14118911	1	-82
Os11g0241700	11	7567981	7568787	-1	-82
Os01g0944700	1	41533329	41535615	-1	-83
Os01g0208400	1	5875794	5877849	-1	-83
Os06g0278150	6	9564390	9566663	1	-84
Os09g0518200	9	20222176	20223992	1	-84
Os02g0504000	2	17880882	17886285	1	-84
Os11g0687200	11	27841513	27846793	1	-85
Os07g0622700	7	25753347	25760619	-1	-86
Os04g0405500	4	20120596	20122056	-1	-87
Os02g0306401	2	11997254	12002625	-1	-87
Os12g0132500	12	1567509	1572559	-1	-89
Os06g0718400	6	30528045	30529070	1	-89
Os12g0236200	12	7451684	7452701	-1	-91
Os07g0174900	7	3947968	3949371	-1	-94
Os04g0316701	4	14478198	14482584	1	-94
Os09g0424300	9	15385723	15389096	-1	-95
Os06g0278000	6	9564356	9566944	-1	-95
Os05g0592300	5	29507007	29509972	1	-96
Os02g0594300	2	23024797	23025834	1	-98
Os06g0295000	6	10871810	10875144	-1	-98
Os07g0604700	7	24768075	24769065	1	-99
Os03g0431800	3	18129996	18142854	1	-101
Os09g0551600	9	21856873	21858935	1	-102
Os03g0736900	3	30204128	30204899	1	-102
Os03g0751100	3	30959746	30963711	-1	-103
Os05g0551000	5	27377539	27382166	1	-104
Os06g0694400	6	28988077	28990325	-1	-104
Os07g0258501	7	8969212	8970359	-1	-106
Os05g0349800	5	16518577	16519493	-1	-108
Os10g0578800	10	23075402	23079074	-1	-109
Os01g0871500	1	37790484	37792882	1	-110
Os01g0655500	1	26611799	26618704	1	-111
Os03g0379300	3	15000100	15002140	1	-112
Os03g0322900	3	11699307	11700672	-1	-113
Os11g0151500	11	2413598	2417423	-1	-113
Os01g0608000	1	24004148	24006633	-1	-115
Os10g0195250	10	6597058	6599557	-1	-116
Os01g0444100	1	16982700	16982963	1	-118
Os02g0579000	2	22258833	22260681	1	-118
Os11g0154900	11	2560816	2563634	1	-122
Os10g0475100	10	17682792	17689465	-1	-122
Os04g0381700	4	18720467	18722735	1	-127
Os02g0649900	2	26171617	26174918	-1	-127
Os11g0262600	11	8864479	8866289	-1	-130
Os12g0236225	12	7455334	7457843	-1	-130
Os09g0129800	9	2306101	2306565	-1	-134
Os02g0594232	2	23008681	23011151	1	-134
Os11g0134900	11	1618494	1623978	-1	-135
Os04g0282400	4	12062977	12063828	-1	-136
Os01g0800900	1	33917599	33918536	1	-136
Os01g0871600	1	37795606	37797741	1	-137
Os09g0129600	9	2297916	2298519	-1	-140
Os04g0578600	4	29178889	29181660	-1	-147
Os03g0725200	3	29479234	29479879	1	-149
Os06g0294950	6	10865395	10867828	-1	-149
Os02g0650300	2	26200136	26204468	-1	-151
Os12g0282000	12	10651961	10653342	1	-152
Os03g0431600	3	18119653	18121181	1	-160
Os03g0293700	3	10230815	10231357	-1	-160
Os01g0495701	1	16980463	16981993	-1	-163
Os01g0647200	1	26086062	26088337	-1	-165
Os07g0258400	7	8966025	8970880	1	-166
Os02g0594166	2	23008659	23011091	-1	-170
Os01g0608101	1	24004176	24006793	1	-171
Os01g0952800	1	41971444	41978093	-1	-173
Os07g0142100	7	2175193	2175719	1	-178
Os03g0307200	3	10926469	10927729	1	-182
Os07g0142200	7	2176824	2177640	1	-189
Os03g0307300	3	10929507	10930895	-1	-196
