Gene stable ID	Chromosome/scaffold name	Gene start(bp)	Gene end(bp)	GOSlim GOA Accession(s)	GOSlim GOA Description	GOSlim_domain	HN-score(HN5)
Os03g0277300	3	9411494	9416082	GO:0005622	intracellular anatomical structure	cellular_component	236
Os03g0277300	3	9411494	9416082	GO:0005737	cytoplasm	cellular_component	236
Os03g0277300	3	9411494	9416082	GO:0006950	response to stress	biological_process	236
Os04g0445100	4	22200999	22201929	GO:0009628	response to abiotic stimulus	biological_process	234
Os04g0445100	4	22200999	22201929	GO:0042221	response to chemical	biological_process	234
Os04g0445100	4	22200999	22201929	GO:0005575	cellular_component	cellular_component	234
Os04g0445100	4	22200999	22201929	GO:0006950	response to stress	biological_process	234
Os04g0445100	4	22200999	22201929	GO:0009987	cellular process	biological_process	234
Os04g0445100	4	22200999	22201929	GO:0008150	biological_process	biological_process	234
Os04g0445100	4	22200999	22201929	GO:0005488	binding	molecular_function	234
Os04g0445100	4	22200999	22201929	GO:0005515	protein binding	molecular_function	234
Os04g0445100	4	22200999	22201929	GO:0005783	endoplasmic reticulum	cellular_component	234
Os04g0445100	4	22200999	22201929	GO:0003674	molecular_function	molecular_function	234
Os04g0445100	4	22200999	22201929	GO:0005737	cytoplasm	cellular_component	234
Os04g0445100	4	22200999	22201929	GO:0005622	intracellular anatomical structure	cellular_component	234
Os04g0445100	4	22200999	22201929	GO:0016043	cellular component organization	biological_process	234
Os01g0136000	1	1944276	1944948	GO:0016043	cellular component organization	biological_process	233
Os01g0136000	1	1944276	1944948	GO:0005737	cytoplasm	cellular_component	233
Os01g0136000	1	1944276	1944948	GO:0009987	cellular process	biological_process	233
Os01g0136000	1	1944276	1944948	GO:0005622	intracellular anatomical structure	cellular_component	233
Os01g0136000	1	1944276	1944948	GO:0005515	protein binding	molecular_function	233
Os01g0136000	1	1944276	1944948	GO:0005488	binding	molecular_function	233
Os01g0136000	1	1944276	1944948	GO:0008150	biological_process	biological_process	233
Os01g0136000	1	1944276	1944948	GO:0003674	molecular_function	molecular_function	233
Os01g0136000	1	1944276	1944948	GO:0009628	response to abiotic stimulus	biological_process	233
Os01g0136000	1	1944276	1944948	GO:0005575	cellular_component	cellular_component	233
Os01g0136000	1	1944276	1944948	GO:0042221	response to chemical	biological_process	233
Os01g0136000	1	1944276	1944948	GO:0006950	response to stress	biological_process	233
Os01g0136200	1	1951930	1952681	GO:0005622	intracellular anatomical structure	cellular_component	229
Os01g0136200	1	1951930	1952681	GO:0006950	response to stress	biological_process	229
Os01g0136200	1	1951930	1952681	GO:0005737	cytoplasm	cellular_component	229
Os01g0136200	1	1951930	1952681	GO:0005575	cellular_component	cellular_component	229
Os01g0136200	1	1951930	1952681	GO:0042221	response to chemical	biological_process	229
Os01g0136200	1	1951930	1952681	GO:0009628	response to abiotic stimulus	biological_process	229
Os01g0136200	1	1951930	1952681	GO:0016043	cellular component organization	biological_process	229
Os01g0136200	1	1951930	1952681	GO:0009987	cellular process	biological_process	229
Os01g0136200	1	1951930	1952681	GO:0008150	biological_process	biological_process	229
Os01g0136200	1	1951930	1952681	GO:0005488	binding	molecular_function	229
Os01g0136200	1	1951930	1952681	GO:0005515	protein binding	molecular_function	229
Os01g0136200	1	1951930	1952681	GO:0003674	molecular_function	molecular_function	229
Os04g0352400	4	16813905	16817974	GO:0036211	protein modification process	biological_process	227
Os04g0352400	4	16813905	16817974	GO:0008152	metabolic process	biological_process	227
Os04g0352400	4	16813905	16817974	GO:0005737	cytoplasm	cellular_component	227
Os04g0352400	4	16813905	16817974	GO:0005622	intracellular anatomical structure	cellular_component	227
Os04g0352400	4	16813905	16817974	GO:0003674	molecular_function	molecular_function	227
Os04g0352400	4	16813905	16817974	GO:0005575	cellular_component	cellular_component	227
Os04g0352400	4	16813905	16817974	GO:0003824	catalytic activity	molecular_function	227
Os04g0352400	4	16813905	16817974	GO:0008150	biological_process	biological_process	227
Os04g0352400	4	16813905	16817974	GO:0005515	protein binding	molecular_function	227
Os04g0352400	4	16813905	16817974	GO:0019538	protein metabolic process	biological_process	227
Os04g0352400	4	16813905	16817974	GO:0009987	cellular process	biological_process	227
Os04g0352400	4	16813905	16817974	GO:0005488	binding	molecular_function	227
Os11g0244200	11	7750382	7751125	GO:0016043	cellular component organization	biological_process	224
Os11g0244200	11	7750382	7751125	GO:0006950	response to stress	biological_process	224
Os11g0244200	11	7750382	7751125	GO:0009628	response to abiotic stimulus	biological_process	224
Os11g0244200	11	7750382	7751125	GO:0042221	response to chemical	biological_process	224
Os11g0244200	11	7750382	7751125	GO:0005622	intracellular anatomical structure	cellular_component	224
Os11g0244200	11	7750382	7751125	GO:0005737	cytoplasm	cellular_component	224
Os11g0244200	11	7750382	7751125	GO:0009987	cellular process	biological_process	224
Os11g0244200	11	7750382	7751125	GO:0008150	biological_process	biological_process	224
Os11g0244200	11	7750382	7751125	GO:0003674	molecular_function	molecular_function	224
Os11g0244200	11	7750382	7751125	GO:0005488	binding	molecular_function	224
Os11g0244200	11	7750382	7751125	GO:0005783	endoplasmic reticulum	cellular_component	224
Os11g0244200	11	7750382	7751125	GO:0005575	cellular_component	cellular_component	224
Os11g0244200	11	7750382	7751125	GO:0005515	protein binding	molecular_function	224
Os01g0136050	1	1944426	1944968	GO:0016020	membrane	cellular_component	222
Os01g0136050	1	1944426	1944968	GO:0005575	cellular_component	cellular_component	222
Os03g0266300	3	8805567	8806556	GO:0009987	cellular process	biological_process	217
Os03g0266300	3	8805567	8806556	GO:0003674	molecular_function	molecular_function	217
Os03g0266300	3	8805567	8806556	GO:0005634	nucleus	cellular_component	217
Os03g0266300	3	8805567	8806556	GO:0005622	intracellular anatomical structure	cellular_component	217
Os03g0266300	3	8805567	8806556	GO:0005575	cellular_component	cellular_component	217
Os03g0266300	3	8805567	8806556	GO:0042221	response to chemical	biological_process	217
Os03g0266300	3	8805567	8806556	GO:0009628	response to abiotic stimulus	biological_process	217
Os03g0266300	3	8805567	8806556	GO:0006950	response to stress	biological_process	217
Os03g0266300	3	8805567	8806556	GO:0016043	cellular component organization	biological_process	217
Os03g0266300	3	8805567	8806556	GO:0008150	biological_process	biological_process	217
Os03g0266300	3	8805567	8806556	GO:0005488	binding	molecular_function	217
Os03g0266300	3	8805567	8806556	GO:0005515	protein binding	molecular_function	217
Os01g0135800	1	1934117	1934924	GO:0005488	binding	molecular_function	215
Os01g0135800	1	1934117	1934924	GO:0003674	molecular_function	molecular_function	215
Os01g0184100	1	4449070	4449876	GO:0009628	response to abiotic stimulus	biological_process	215
Os01g0135800	1	1934117	1934924	GO:0009987	cellular process	biological_process	215
Os01g0184100	1	4449070	4449876	GO:0042221	response to chemical	biological_process	215
Os01g0135800	1	1934117	1934924	GO:0008150	biological_process	biological_process	215
Os01g0135800	1	1934117	1934924	GO:0005515	protein binding	molecular_function	215
Os01g0135800	1	1934117	1934924	GO:0016043	cellular component organization	biological_process	215
Os01g0184100	1	4449070	4449876	GO:0005488	binding	molecular_function	215
Os01g0184100	1	4449070	4449876	GO:0005575	cellular_component	cellular_component	215
Os01g0184100	1	4449070	4449876	GO:0005622	intracellular anatomical structure	cellular_component	215
Os01g0184100	1	4449070	4449876	GO:0005737	cytoplasm	cellular_component	215
Os01g0135800	1	1934117	1934924	GO:0006950	response to stress	biological_process	215
Os01g0184100	1	4449070	4449876	GO:0016043	cellular component organization	biological_process	215
Os01g0184100	1	4449070	4449876	GO:0009987	cellular process	biological_process	215
Os01g0184100	1	4449070	4449876	GO:0008150	biological_process	biological_process	215
Os01g0184100	1	4449070	4449876	GO:0006950	response to stress	biological_process	215
Os01g0184100	1	4449070	4449876	GO:0005515	protein binding	molecular_function	215
Os01g0135800	1	1934117	1934924	GO:0005737	cytoplasm	cellular_component	215
Os01g0135800	1	1934117	1934924	GO:0005622	intracellular anatomical structure	cellular_component	215
Os01g0135800	1	1934117	1934924	GO:0005575	cellular_component	cellular_component	215
Os01g0135800	1	1934117	1934924	GO:0042221	response to chemical	biological_process	215
Os01g0135800	1	1934117	1934924	GO:0009628	response to abiotic stimulus	biological_process	215
Os01g0184100	1	4449070	4449876	GO:0003674	molecular_function	molecular_function	215
Os03g0267000	3	8834869	8835576	GO:0042221	response to chemical	biological_process	213
Os03g0267000	3	8834869	8835576	GO:0009628	response to abiotic stimulus	biological_process	213
Os03g0267000	3	8834869	8835576	GO:0006950	response to stress	biological_process	213
Os03g0267000	3	8834869	8835576	GO:0016043	cellular component organization	biological_process	213
Os03g0267000	3	8834869	8835576	GO:0009987	cellular process	biological_process	213
Os03g0267000	3	8834869	8835576	GO:0005515	protein binding	molecular_function	213
Os03g0267000	3	8834869	8835576	GO:0008150	biological_process	biological_process	213
Os03g0267000	3	8834869	8835576	GO:0005488	binding	molecular_function	213
Os03g0267000	3	8834869	8835576	GO:0003674	molecular_function	molecular_function	213
Os03g0267000	3	8834869	8835576	GO:0005737	cytoplasm	cellular_component	213
Os03g0267000	3	8834869	8835576	GO:0005622	intracellular anatomical structure	cellular_component	213
Os03g0267000	3	8834869	8835576	GO:0005575	cellular_component	cellular_component	213
Os11g0149200	11	2276477	2276917	GO:0008152	metabolic process	biological_process	208
Os11g0149200	11	2276477	2276917	GO:0008150	biological_process	biological_process	208
Os11g0149200	11	2276477	2276917	GO:0009987	cellular process	biological_process	208
Os11g0149200	11	2276477	2276917	GO:0009058	biosynthetic process	biological_process	208
Os11g0149200	11	2276477	2276917	GO:0006139	nucleobase-containing compound metabolic process	biological_process	208
Os03g0267200	3	8837821	8838527	GO:0005575	cellular_component	cellular_component	191
Os03g0267200	3	8837821	8838527	GO:0005515	protein binding	molecular_function	191
Os03g0267200	3	8837821	8838527	GO:0005737	cytoplasm	cellular_component	191
Os03g0267200	3	8837821	8838527	GO:0005622	intracellular anatomical structure	cellular_component	191
Os03g0267200	3	8837821	8838527	GO:0003674	molecular_function	molecular_function	191
Os03g0267200	3	8837821	8838527	GO:0009628	response to abiotic stimulus	biological_process	191
Os03g0267200	3	8837821	8838527	GO:0016043	cellular component organization	biological_process	191
Os03g0267200	3	8837821	8838527	GO:0009987	cellular process	biological_process	191
Os03g0267200	3	8837821	8838527	GO:0042221	response to chemical	biological_process	191
Os03g0267200	3	8837821	8838527	GO:0008150	biological_process	biological_process	191
Os03g0267200	3	8837821	8838527	GO:0005488	binding	molecular_function	191
Os03g0267200	3	8837821	8838527	GO:0006950	response to stress	biological_process	191
Os06g0229000	6	6701280	6701973	GO:0005622	intracellular anatomical structure	cellular_component	185
Os06g0229000	6	6701280	6701973	GO:0015979	photosynthesis	biological_process	185
Os06g0229000	6	6701280	6701973	GO:0009056	catabolic process	biological_process	185
Os06g0229000	6	6701280	6701973	GO:0003674	molecular_function	molecular_function	185
Os06g0229000	6	6701280	6701973	GO:0005737	cytoplasm	cellular_component	185
Os06g0229000	6	6701280	6701973	GO:0016020	membrane	cellular_component	185
Os06g0229000	6	6701280	6701973	GO:0008150	biological_process	biological_process	185
Os06g0229000	6	6701280	6701973	GO:0005575	cellular_component	cellular_component	185
Os06g0229000	6	6701280	6701973	GO:0019538	protein metabolic process	biological_process	185
Os06g0229000	6	6701280	6701973	GO:0008152	metabolic process	biological_process	185
Os06g0229000	6	6701280	6701973	GO:0016787	hydrolase activity	molecular_function	185
Os06g0229000	6	6701280	6701973	GO:0009628	response to abiotic stimulus	biological_process	185
Os06g0229000	6	6701280	6701973	GO:0003824	catalytic activity	molecular_function	185
Os06g0229000	6	6701280	6701973	GO:0009416	response to light stimulus	biological_process	185
Os06g0229000	6	6701280	6701973	GO:0009987	cellular process	biological_process	185
Os06g0229000	6	6701280	6701973	GO:0006091	generation of precursor metabolites and energy	biological_process	185
Os06g0229000	6	6701280	6701973	GO:0000166	nucleotide binding	molecular_function	185
Os06g0229000	6	6701280	6701973	GO:0005488	binding	molecular_function	185
Os06g0229000	6	6701280	6701973	GO:0016043	cellular component organization	biological_process	185
Os06g0229000	6	6701280	6701973	GO:0009536	plastid	cellular_component	185
Os06g0229000	6	6701280	6701973	GO:0009507	chloroplast	cellular_component	185
Os06g0229000	6	6701280	6701973	GO:0009579	thylakoid	cellular_component	185
Os08g0104400	8	233816	234464	GO:0048856	anatomical structure development	biological_process	176
Os08g0104400	8	233816	234464	GO:0008150	biological_process	biological_process	176
Os08g0104400	8	233816	234464	GO:0007275	multicellular organism development	biological_process	176
Os08g0104400	8	233816	234464	GO:0009791	post-embryonic development	biological_process	176
Os08g0104400	8	233816	234464	GO:0000003	reproduction	biological_process	176
Os05g0519700	5	25803609	25807160	GO:0005634	nucleus	cellular_component	171
Os05g0519700	5	25803609	25807160	GO:0005737	cytoplasm	cellular_component	171
Os05g0519700	5	25803609	25807160	GO:0005829	cytosol	cellular_component	171
Os05g0519700	5	25803609	25807160	GO:0005488	binding	molecular_function	171
Os05g0519700	5	25803609	25807160	GO:0000166	nucleotide binding	molecular_function	171
Os05g0519700	5	25803609	25807160	GO:0019538	protein metabolic process	biological_process	171
Os05g0519700	5	25803609	25807160	GO:0005575	cellular_component	cellular_component	171
Os05g0519700	5	25803609	25807160	GO:0009987	cellular process	biological_process	171
Os05g0519700	5	25803609	25807160	GO:0006950	response to stress	biological_process	171
Os05g0519700	5	25803609	25807160	GO:0005622	intracellular anatomical structure	cellular_component	171
Os05g0519700	5	25803609	25807160	GO:0003674	molecular_function	molecular_function	171
Os05g0519700	5	25803609	25807160	GO:0008150	biological_process	biological_process	171
Os05g0519700	5	25803609	25807160	GO:0016787	hydrolase activity	molecular_function	171
Os05g0519700	5	25803609	25807160	GO:0008152	metabolic process	biological_process	171
Os05g0519700	5	25803609	25807160	GO:0009628	response to abiotic stimulus	biological_process	171
Os05g0519700	5	25803609	25807160	GO:0003824	catalytic activity	molecular_function	171
Os02g0782500	2	33179489	33180405	GO:0005488	binding	molecular_function	166
Os02g0782500	2	33179489	33180405	GO:0005737	cytoplasm	cellular_component	166
Os02g0782500	2	33179489	33180405	GO:0005515	protein binding	molecular_function	166
Os02g0782500	2	33179489	33180405	GO:0005575	cellular_component	cellular_component	166
Os02g0782500	2	33179489	33180405	GO:0042221	response to chemical	biological_process	166
Os02g0782500	2	33179489	33180405	GO:0009416	response to light stimulus	biological_process	166
Os02g0782500	2	33179489	33180405	GO:0005622	intracellular anatomical structure	cellular_component	166
Os02g0782500	2	33179489	33180405	GO:0016043	cellular component organization	biological_process	166
Os02g0782500	2	33179489	33180405	GO:0008150	biological_process	biological_process	166
Os02g0782500	2	33179489	33180405	GO:0006950	response to stress	biological_process	166
Os02g0782500	2	33179489	33180405	GO:0009628	response to abiotic stimulus	biological_process	166
Os02g0782500	2	33179489	33180405	GO:0003674	molecular_function	molecular_function	166
Os02g0782500	2	33179489	33180405	GO:0009987	cellular process	biological_process	166
Os03g0266900	3	8833718	8834470	GO:0006950	response to stress	biological_process	163
Os03g0266900	3	8833718	8834470	GO:0005737	cytoplasm	cellular_component	163
Os03g0266900	3	8833718	8834470	GO:0005622	intracellular anatomical structure	cellular_component	163
Os03g0266900	3	8833718	8834470	GO:0005575	cellular_component	cellular_component	163
Os03g0266900	3	8833718	8834470	GO:0009628	response to abiotic stimulus	biological_process	163
Os03g0266900	3	8833718	8834470	GO:0008150	biological_process	biological_process	163
Os03g0266900	3	8833718	8834470	GO:0009987	cellular process	biological_process	163
Os03g0266900	3	8833718	8834470	GO:0042221	response to chemical	biological_process	163
Os03g0266900	3	8833718	8834470	GO:0005488	binding	molecular_function	163
Os03g0266900	3	8833718	8834470	GO:0005515	protein binding	molecular_function	163
Os03g0266900	3	8833718	8834470	GO:0016043	cellular component organization	biological_process	163
Os03g0266900	3	8833718	8834470	GO:0003674	molecular_function	molecular_function	163
Os03g0218500	3	6244085	6247317	GO:0008150	biological_process	biological_process	162
Os03g0218500	3	6244085	6247317	GO:0009416	response to light stimulus	biological_process	162
Os03g0218500	3	6244085	6247317	GO:0003674	molecular_function	molecular_function	162
Os03g0218500	3	6244085	6247317	GO:0005515	protein binding	molecular_function	162
Os03g0218500	3	6244085	6247317	GO:0005488	binding	molecular_function	162
Os03g0218500	3	6244085	6247317	GO:0009987	cellular process	biological_process	162
Os03g0218500	3	6244085	6247317	GO:0003824	catalytic activity	molecular_function	162
Os03g0218500	3	6244085	6247317	GO:0009628	response to abiotic stimulus	biological_process	162
Os03g0218500	3	6244085	6247317	GO:0016787	hydrolase activity	molecular_function	162
Os03g0218500	3	6244085	6247317	GO:0000166	nucleotide binding	molecular_function	162
Os03g0218500	3	6244085	6247317	GO:0006950	response to stress	biological_process	162
Os03g0218500	3	6244085	6247317	GO:0042221	response to chemical	biological_process	162
Os03g0218500	3	6244085	6247317	GO:0005575	cellular_component	cellular_component	162
Os03g0218500	3	6244085	6247317	GO:0005622	intracellular anatomical structure	cellular_component	162
Os03g0218500	3	6244085	6247317	GO:0005737	cytoplasm	cellular_component	162
Os01g0224200	1	6830317	6832770	GO:0009987	cellular process	biological_process	161
Os01g0224200	1	6830317	6832770	GO:0008150	biological_process	biological_process	161
Os01g0224200	1	6830317	6832770	GO:0016043	cellular component organization	biological_process	161
Os06g0229066	6	6702956	6704431	GO:0016787	hydrolase activity	molecular_function	155
Os06g0229066	6	6702956	6704431	GO:0008152	metabolic process	biological_process	155
Os06g0229066	6	6702956	6704431	GO:0019538	protein metabolic process	biological_process	155
Os06g0229066	6	6702956	6704431	GO:0008150	biological_process	biological_process	155
Os06g0229066	6	6702956	6704431	GO:0009987	cellular process	biological_process	155
Os06g0229066	6	6702956	6704431	GO:0003824	catalytic activity	molecular_function	155
Os06g0229066	6	6702956	6704431	GO:0003674	molecular_function	molecular_function	155
Os06g0229066	6	6702956	6704431	GO:0009416	response to light stimulus	biological_process	155
Os06g0229066	6	6702956	6704431	GO:0005622	intracellular anatomical structure	cellular_component	155
Os06g0229066	6	6702956	6704431	GO:0015979	photosynthesis	biological_process	155
Os06g0229066	6	6702956	6704431	GO:0005575	cellular_component	cellular_component	155
Os06g0229066	6	6702956	6704431	GO:0005488	binding	molecular_function	155
Os06g0229066	6	6702956	6704431	GO:0016020	membrane	cellular_component	155
Os06g0229066	6	6702956	6704431	GO:0005737	cytoplasm	cellular_component	155
Os06g0229066	6	6702956	6704431	GO:0009579	thylakoid	cellular_component	155
Os06g0229066	6	6702956	6704431	GO:0009507	chloroplast	cellular_component	155
Os06g0229066	6	6702956	6704431	GO:0009536	plastid	cellular_component	155
Os06g0229066	6	6702956	6704431	GO:0016043	cellular component organization	biological_process	155
Os06g0229066	6	6702956	6704431	GO:0000166	nucleotide binding	molecular_function	155
Os06g0229066	6	6702956	6704431	GO:0006091	generation of precursor metabolites and energy	biological_process	155
Os06g0229066	6	6702956	6704431	GO:0009628	response to abiotic stimulus	biological_process	155
Os06g0229066	6	6702956	6704431	GO:0009056	catabolic process	biological_process	155
Os03g0745600	3	30639024	30640119	GO:0016020	membrane	cellular_component	151
Os03g0745600	3	30639024	30640119	GO:0005575	cellular_component	cellular_component	151
Os06g0668200	6	27676510	27679751	GO:0009987	cellular process	biological_process	140
Os06g0668200	6	27676510	27679751	GO:0003824	catalytic activity	molecular_function	140
Os06g0668200	6	27676510	27679751	GO:0016740	transferase activity	molecular_function	140
Os06g0668200	6	27676510	27679751	GO:0016301	kinase activity	molecular_function	140
Os06g0668200	6	27676510	27679751	GO:0008150	biological_process	biological_process	140
Os06g0668200	6	27676510	27679751	GO:0003674	molecular_function	molecular_function	140
Os06g0668200	6	27676510	27679751	GO:0008152	metabolic process	biological_process	140
Os06g0668200	6	27676510	27679751	GO:0005737	cytoplasm	cellular_component	140
Os06g0668200	6	27676510	27679751	GO:0009058	biosynthetic process	biological_process	140
Os06g0668200	6	27676510	27679751	GO:0005488	binding	molecular_function	140
Os06g0668200	6	27676510	27679751	GO:0005975	carbohydrate metabolic process	biological_process	140
Os06g0668200	6	27676510	27679751	GO:0000166	nucleotide binding	molecular_function	140
Os06g0668200	6	27676510	27679751	GO:0006950	response to stress	biological_process	140
Os06g0668200	6	27676510	27679751	GO:0009628	response to abiotic stimulus	biological_process	140
Os06g0668200	6	27676510	27679751	GO:0005575	cellular_component	cellular_component	140
Os06g0668200	6	27676510	27679751	GO:0006091	generation of precursor metabolites and energy	biological_process	140
Os06g0668200	6	27676510	27679751	GO:0005622	intracellular anatomical structure	cellular_component	140
Os06g0668200	6	27676510	27679751	GO:0005829	cytosol	cellular_component	140
Os06g0668200	6	27676510	27679751	GO:0009607	response to biotic stimulus	biological_process	140
Os06g0668200	6	27676510	27679751	GO:0009605	response to external stimulus	biological_process	140
Os06g0668200	6	27676510	27679751	GO:0042221	response to chemical	biological_process	140
Os06g0668200	6	27676510	27679751	GO:0009416	response to light stimulus	biological_process	140
Os06g0668200	6	27676510	27679751	GO:0009056	catabolic process	biological_process	140
Os06g0668200	6	27676510	27679751	GO:0006139	nucleobase-containing compound metabolic process	biological_process	140
Os11g0453900	11	15320288	15321526	GO:0008150	biological_process	biological_process	138
Os11g0453900	11	15320288	15321526	GO:0006950	response to stress	biological_process	138
Os11g0453900	11	15320288	15321526	GO:0005829	cytosol	cellular_component	138
Os11g0453900	11	15320288	15321526	GO:0005737	cytoplasm	cellular_component	138
Os11g0453900	11	15320288	15321526	GO:0009628	response to abiotic stimulus	biological_process	138
Os11g0453900	11	15320288	15321526	GO:0009719	response to endogenous stimulus	biological_process	138
Os11g0453900	11	15320288	15321526	GO:0005622	intracellular anatomical structure	cellular_component	138
Os11g0453900	11	15320288	15321526	GO:0005575	cellular_component	cellular_component	138
Os11g0453900	11	15320288	15321526	GO:0042221	response to chemical	biological_process	138
Os06g0565200	6	21761304	21762421	GO:0005634	nucleus	cellular_component	135
Os06g0565200	6	21761304	21762421	GO:0003677	DNA binding	molecular_function	135
Os06g0565200	6	21761304	21762421	GO:0005622	intracellular anatomical structure	cellular_component	135
Os06g0565200	6	21761304	21762421	GO:0005575	cellular_component	cellular_component	135
Os04g0561500	4	28108757	28113603	GO:0005737	cytoplasm	cellular_component	135
Os06g0565200	6	21761304	21762421	GO:0005488	binding	molecular_function	135
Os06g0565200	6	21761304	21762421	GO:0003676	nucleic acid binding	molecular_function	135
Os06g0565200	6	21761304	21762421	GO:0003674	molecular_function	molecular_function	135
Os04g0561500	4	28108757	28113603	GO:0019538	protein metabolic process	biological_process	135
Os04g0561500	4	28108757	28113603	GO:0005829	cytosol	cellular_component	135
Os04g0561500	4	28108757	28113603	GO:0008150	biological_process	biological_process	135
Os04g0561500	4	28108757	28113603	GO:0008152	metabolic process	biological_process	135
Os06g0565200	6	21761304	21762421	GO:0005737	cytoplasm	cellular_component	135
Os06g0565200	6	21761304	21762421	GO:0008150	biological_process	biological_process	135
Os06g0565200	6	21761304	21762421	GO:0009987	cellular process	biological_process	135
Os06g0565200	6	21761304	21762421	GO:0008152	metabolic process	biological_process	135
Os06g0565200	6	21761304	21762421	GO:0009058	biosynthetic process	biological_process	135
Os01g0757500	1	31811367	31814552	GO:0006950	response to stress	biological_process	135
Os01g0757500	1	31811367	31814552	GO:0008150	biological_process	biological_process	135
Os01g0757500	1	31811367	31814552	GO:0005737	cytoplasm	cellular_component	135
Os06g0565200	6	21761304	21762421	GO:0006139	nucleobase-containing compound metabolic process	biological_process	135
Os04g0561500	4	28108757	28113603	GO:0005622	intracellular anatomical structure	cellular_component	135
Os04g0561500	4	28108757	28113603	GO:0005575	cellular_component	cellular_component	135
Os04g0561500	4	28108757	28113603	GO:0016787	hydrolase activity	molecular_function	135
Os04g0561500	4	28108757	28113603	GO:0003824	catalytic activity	molecular_function	135
Os06g0565200	6	21761304	21762421	GO:0003700	DNA-binding transcription factor activity	molecular_function	135
